timestamp,rows,time_taken,energy_consumption,future_temp,future_humi,current_temp,current_humi,door_status,outdoor_temp,outdoor_humi,FC_Unit_1_Status,FC_Unit_1_Fan_Status,FC_Unit_1_Set_Point,FC_Unit_1_Operation_Mode,FC_Unit_2_Status,FC_Unit_2_Fan_Status,FC_Unit_2_Set_Point,FC_Unit_2_Operation_Mode,FC_Unit_3_Status,FC_Unit_3_Fan_Status,FC_Unit_3_Set_Point,FC_Unit_3_Operation_Mode,FC_Unit_4_Status,FC_Unit_4_Fan_Status,FC_Unit_4_Set_Point,FC_Unit_4_Operation_Mode,FC_Unit_5_Status,FC_Unit_5_Fan_Status,FC_Unit_5_Set_Point,FC_Unit_5_Operation_Mode,FC_Unit_6_Status,FC_Unit_6_Fan_Status,FC_Unit_6_Set_Point,FC_Unit_6_Operation_Mode
1736443576,"[4546, 4547, 4548, 4549, 4550, 4551]","[np.int64(629), np.int64(1257), np.int64(1886), np.int64(2515), np.int64(3143), np.int64(3772)]","[np.float64(2.430000000000291), np.float64(3.619999999999891), np.float64(4.710000000000036), np.float64(5.75), np.float64(6.729999999999563), np.float64(7.8200000000006185)]","[np.float64(26.15), np.float64(25.067), np.float64(24.383), np.float64(24.2), np.float64(24.267), np.float64(24.267)]","[np.float64(52.571), np.float64(57.429), np.float64(58.071), np.float64(59.929), np.float64(59.286), np.float64(60.286)]",29.6,61.786,1.0,31.8,57.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,21.5,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL
1736359347,"[4412, 4413, 4414, 4415, 4416, 4417]","[np.int64(629), np.int64(1257), np.int64(1886), np.int64(2514), np.int64(3143), np.int64(3772)]","[np.float64(1.910000000000764), np.float64(3.2500000000009095), np.float64(4.5600000000004), np.float64(5.990000000000691), np.float64(7.350000000000364), np.float64(8.540000000000873)]","[np.float64(27.1), np.float64(26.067), np.float64(25.517), np.float64(25.283), np.float64(25.1), np.float64(24.95)]","[np.float64(60.643), np.float64(58.786), np.float64(58.929), np.float64(60.357), np.float64(60.429), np.float64(57.357)]",29.217,67.357,1.0,31.3,64.0,OFF,QUIET,22.5,COOL,OFF,QUIET,22.5,COOL,ON,MED,21.5,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL
1735916166,"[3703, 3704, 3705, 3706, 3707, 3708, 3709]","[np.int64(628), np.int64(1257), np.int64(1885), np.int64(2514), np.int64(2661), np.int64(3142), np.int64(3771)]","[np.float64(1.4400000000005093), np.float64(2.8700000000008004), np.float64(3.980000000000473), np.float64(4.890000000000327), np.float64(4.890000000000327), np.float64(5.760000000000218), np.float64(6.640000000000327)]","[np.float64(27.733), np.float64(26.617), np.float64(25.917), np.float64(25.567), np.float64(25.567), np.float64(25.333), np.float64(25.05)]","[np.float64(64.571), np.float64(58.0), np.float64(55.214), np.float64(53.429), np.float64(53.429), np.float64(54.857), np.float64(52.714)]",29.05,70.786,1.0,30.3,70.5,OFF,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,22.0,COOL,OFF,LOW,22.0,COOL
1736419062,[],[],[],[],[],28.967,70.857,1.0,30.2,66.0,OFF,QUIET,22.5,COOL,OFF,QUIET,22.5,COOL,ON,MED,21.5,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL
1735907993,[3687],[np.int64(629)],[np.float64(0.6799999999993815)],[np.float64(28.383)],[np.float64(68.929)],28.95,71.929,1.0,32.5,61.0,ON,HIGH,21.5,COOL,ON,AUTO,22.0,DRY,OFF,MED,21.5,COOL,OFF,AUTO,22.0,DRY,OFF,AUTO,22.0,COOL,OFF,LOW,22.0,COOL
1735841992,[3570],[np.int64(628)],[np.float64(1.359999999998763)],[np.float64(26.95)],[np.float64(64.286)],28.817,72.857,1.0,29.8,79.0,OFF,MED,21.5,COOL,ON,AUTO,22.0,DRY,ON,LOW,21.5,COOL,ON,AUTO,22.0,DRY,ON,AUTO,22.0,COOL,OFF,HIGH,22.0,COOL
1735219085,[],[],[],[],[],28.433,73.5,1.0,31.5,65.5,ON,AUTO,22.0,DRY,ON,MED,22.0,COOL,OFF,AUTO,22.0,DRY,OFF,AUTO,22.0,DRY,OFF,AUTO,22.0,DRY,OFF,AUTO,22.0,DRY
1735908622,[],[],[],[],[],28.383,68.929,1.0,32.5,61.0,ON,HIGH,21.5,COOL,ON,AUTO,22.0,DRY,OFF,MED,21.5,COOL,OFF,AUTO,22.0,DRY,OFF,AUTO,22.0,COOL,OFF,LOW,22.0,COOL
1734784041,"[1814, 1815, 1816, 1817, 1818, 1819]","[np.int64(628), np.int64(1257), np.int64(1886), np.int64(2514), np.int64(3143), np.int64(3771)]","[np.float64(1.8400000000001455), np.float64(3.0399999999999636), np.float64(4.0900000000001455), np.float64(5.119999999999891), np.float64(6.119999999999891), np.float64(7.009999999999309)]","[np.float64(25.683), np.float64(24.833), np.float64(24.667), np.float64(24.7), np.float64(24.55), np.float64(24.383)]","[np.float64(61.429), np.float64(60.857), np.float64(61.429), np.float64(61.786), np.float64(62.286), np.float64(61.214)]",28.167,70.786,1.0,32.7,59.0,ON,AUTO,22.0,DRY,ON,AUTO,22.0,DRY,ON,AUTO,22.5,DRY,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,LOW,21.5,COOL
1735916794,"[3704, 3705, 3706, 3707, 3708, 3709, 3710, 3711]","[np.int64(629), np.int64(1257), np.int64(1886), np.int64(2033), np.int64(2514), np.int64(3143), np.int64(3771), np.int64(3948)]","[np.float64(1.430000000000291), np.float64(2.5399999999999636), np.float64(3.449999999999818), np.float64(3.449999999999818), np.float64(4.319999999999709), np.float64(5.199999999999818), np.float64(6.069999999999709), np.float64(6.069999999999709)]","[np.float64(26.617), np.float64(25.917), np.float64(25.567), np.float64(25.567), np.float64(25.333), np.float64(25.05), np.float64(24.883), np.float64(24.883)]","[np.float64(58.0), np.float64(55.214), np.float64(53.429), np.float64(53.429), np.float64(54.857), np.float64(52.714), np.float64(53.5), np.float64(53.5)]",27.733,64.571,1.0,29.6,78.5,OFF,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,22.0,COOL,OFF,LOW,22.0,COOL
