current_temp,current_humi,total_time_maintained,total_energy_consumption,energy_efficiency,door_status,FC_Unit_1_Status,FC_Unit_1_Fan_Status,FC_Unit_1_Set_Point,FC_Unit_1_Operation_Mode,FC_Unit_2_Status,FC_Unit_2_Fan_Status,FC_Unit_2_Set_Point,FC_Unit_2_Operation_Mode,FC_Unit_3_Status,FC_Unit_3_Fan_Status,FC_Unit_3_Set_Point,FC_Unit_3_Operation_Mode,FC_Unit_4_Status,FC_Unit_4_Fan_Status,FC_Unit_4_Set_Point,FC_Unit_4_Operation_Mode,FC_Unit_5_Status,FC_Unit_5_Fan_Status,FC_Unit_5_Set_Point,FC_Unit_5_Operation_Mode,FC_Unit_6_Status,FC_Unit_6_Fan_Status,FC_Unit_6_Set_Point,FC_Unit_6_Operation_Mode
25.917,55.214,1405,1.819999999999709,771.9780219781454,1.0,OFF,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,22.0,COOL,OFF,LOW,22.0,COOL
25.917,55.214,6284,6.110000000000582,1028.4779050735517,1.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL,OFF,MED,21.5,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
25.683,53.929,3772,3.389999999999418,1112.684365781902,1.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL,OFF,MED,21.5,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
25.533,53.429,629,0.5200000000004366,1209.615384614369,1.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL,OFF,MED,21.5,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
25.517,58.929,1885,4.220000000000255,446.68246445494935,1.0,OFF,QUIET,22.5,COOL,OFF,QUIET,22.5,COOL,ON,MED,21.5,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL
25.5,53.143,1885,1.6199999999989814,1163.5802469143118,1.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL,OFF,MED,21.5,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
25.333,54.857,5206,7.010000000000218,742.6533523537572,1.0,OFF,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,22.0,COOL,OFF,LOW,22.0,COOL
25.283,60.357,1887,3.9099999999998545,482.6086956521919,1.0,OFF,QUIET,22.5,COOL,OFF,QUIET,22.5,COOL,ON,MED,21.5,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL
25.2,53.0,3770,4.670000000000073,807.280513918617,1.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL,OFF,MED,21.5,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
25.167,52.786,1886,2.3299999999981083,809.442060086494,1.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL,OFF,MED,21.5,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
25.167,52.5,628,0.7700000000004366,815.5844155839532,1.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL,OFF,MED,21.5,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
25.1,54.071,6282,7.43000000000211,845.4912516821287,1.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL,OFF,MED,21.5,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
25.1,60.429,629,1.1900000000005093,528.5714285712023,1.0,OFF,QUIET,22.5,COOL,OFF,QUIET,22.5,COOL,ON,MED,21.5,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL
25.05,52.714,16567,23.280000000001564,711.6408934707425,1.0,OFF,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,22.0,COOL,OFF,LOW,22.0,COOL
24.967,55.357,13195,14.599999999999454,903.767123287705,1.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL,OFF,MED,21.5,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
24.95,54.643,9427,10.88000000000011,866.4522058823443,1.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL,OFF,MED,21.5,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
24.95,57.143,13199,13.93000000000302,947.5233309402109,1.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL,OFF,MED,21.5,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
24.933,56.214,14506,20.570000000002437,705.2017501214526,1.0,OFF,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,22.0,COOL,OFF,LOW,22.0,COOL
24.833,60.857,6286,10.179999999999382,617.4852652259707,1.0,ON,AUTO,22.0,DRY,ON,AUTO,22.0,DRY,ON,AUTO,22.5,DRY,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,LOW,21.5,COOL
24.817,56.214,13882,18.729999999999563,741.1639081687306,1.0,OFF,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,22.0,COOL,OFF,LOW,22.0,COOL
24.767,56.214,629,1.0300000000006548,610.6796116500972,1.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,21.5,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL
24.7,61.786,9430,14.179999999998472,665.0211565586048,1.0,ON,AUTO,22.0,DRY,ON,AUTO,22.0,DRY,ON,AUTO,22.5,DRY,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,LOW,21.5,COOL
24.667,61.429,13198,20.359999999996944,648.2318271120815,1.0,ON,AUTO,22.0,DRY,ON,AUTO,22.0,DRY,ON,AUTO,22.5,DRY,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,LOW,21.5,COOL
24.617,67.286,628,0.819999999999709,765.8536585368572,1.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL,OFF,MED,21.5,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL
24.617,57.643,1886,2.529999999998836,745.4545454548885,1.0,OFF,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,22.0,COOL,OFF,LOW,22.0,COOL
24.6,58.583,628,0.9600000000000364,654.1666666666418,1.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,21.5,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,MED,22.0,COOL
24.567,54.429,9430,12.209999999999127,772.3177723178276,1.0,OFF,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,22.0,COOL,OFF,LOW,22.0,COOL
24.567,55.214,13198,17.12999999999738,770.4611792178645,1.0,OFF,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,21.5,COOL,OFF,AUTO,22.0,DRY,ON,HIGH,22.0,COOL,OFF,LOW,22.0,COOL
24.55,62.286,6285,9.179999999998472,684.640522875931,1.0,ON,AUTO,22.0,DRY,ON,AUTO,22.0,DRY,ON,AUTO,22.5,DRY,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,LOW,21.5,COOL
24.5,59.429,3770,3.519999999999527,1071.0227272728712,1.0,ON,MED,22.0,COOL,ON,MED,22.0,COOL,OFF,MED,21.5,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL,OFF,MED,22.0,COOL
24.45,66.0,3772,6.669999999999163,565.5172413793813,1.0,ON,AUTO,22.0,DRY,ON,AUTO,22.0,DRY,ON,AUTO,22.5,DRY,ON,MED,22.0,COOL,ON,MED,22.0,COOL,ON,LOW,22.0,COOL
