timestamp,rows,time_taken,energy_consumption,future_temp,future_humi,current_temp,current_humi,FC_Unit_1_Status,FC_Unit_1_Fan_Status,FC_Unit_1_Set_Point,FC_Unit_1_Operation_Mode,FC_Unit_2_Status,FC_Unit_2_Fan_Status,FC_Unit_2_Set_Point,FC_Unit_2_Operation_Mode,FC_Unit_3_Status,FC_Unit_3_Fan_Status,FC_Unit_3_Set_Point,FC_Unit_3_Operation_Mode,FC_Unit_4_Status,FC_Unit_4_Fan_Status,FC_Unit_4_Set_Point,FC_Unit_4_Operation_Mode,FC_Unit_5_Status,FC_Unit_5_Fan_Status,FC_Unit_5_Set_Point,FC_Unit_5_Operation_Mode,FC_Unit_6_Status,FC_Unit_6_Fan_Status,FC_Unit_6_Set_Point,FC_Unit_6_Operation_Mode,FC_Unit_7_Status,FC_Unit_7_Fan_Status,FC_Unit_7_Set_Point,FC_Unit_7_Operation_Mode,FC_Unit_8_Status,FC_Unit_8_Fan_Status,FC_Unit_8_Set_Point,FC_Unit_8_Operation_Mode
1734353268,"[1972, 1973, 1974, 1975, 1976]","[np.int64(326), np.int64(662), np.int64(956), np.int64(1326), np.int64(1652)]","[np.float64(0.7300000000004729), np.float64(1.6300000000001091), np.float64(2.309990000000198), np.float64(3.0699900000004163), np.float64(3.8700000000003456)]","[np.float64(27.9), np.float64(27.533), np.float64(27.157), np.float64(26.95), np.float64(26.567)]","[np.float64(71.5), np.float64(69.286), np.float64(68.188), np.float64(67.143), np.float64(65.214)]",28.2,72.833,ON,VERY LOW,22.8,COOL,OFF,OFF,19.0,COOL,ON,VERY LOW,23.4,COOL,OFF,OFF,23.3,DRY,ON,VERY LOW,22.8,COOL,OFF,OFF,23.2,COOL,ON,MID,23.0,COOL,OFF,OFF,23.2,DRY
1734891432,[],[],[],[],[],27.917,70.214,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734892091,[],[],[],[],[],27.917,70.214,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734893414,[],[],[],[],[],27.917,70.5,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734892751,[],[],[],[],[],27.917,70.214,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734888461,"[3724, 3725, 3726, 3727, 3728, 3729, 3730, 3731, 3732, 3733]","[np.int64(275), np.int64(660), np.int64(935), np.int64(1332), np.int64(1594), np.int64(1987), np.int64(2254), np.int64(2622), np.int64(2971), np.int64(3302)]","[np.float64(1.0), np.float64(1.0), np.float64(1.0100000000000193), np.float64(1.0100000000000193), np.float64(1.0200000000000102), np.float64(1.0200000000000102), np.float64(1.0200000000000102), np.float64(1.0200000000000102), np.float64(1.0200000000000102), np.float64(0.030000000000001137)]","[np.float64(27.886), np.float64(27.9), np.float64(27.9), np.float64(27.883), np.float64(27.883), np.float64(27.9), np.float64(27.886), np.float64(27.871), np.float64(27.917), np.float64(27.886)]","[np.float64(70.125), np.float64(70.071), np.float64(70.438), np.float64(70.143), np.float64(70.714), np.float64(70.214), np.float64(70.562), np.float64(70.562), np.float64(70.214), np.float64(70.562)]",27.9,69.786,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734353594,"[1973, 1974, 1975, 1976]","[np.int64(336), np.int64(630), np.int64(1000), np.int64(1326)]","[np.float64(0.8999999999996362), np.float64(1.5799899999997251), np.float64(2.3399899999999434), np.float64(3.1399999999998727)]","[np.float64(27.533), np.float64(27.157), np.float64(26.95), np.float64(26.567)]","[np.float64(69.286), np.float64(68.188), np.float64(67.143), np.float64(65.214)]",27.9,71.5,ON,VERY LOW,22.8,COOL,OFF,OFF,19.0,COOL,ON,VERY LOW,23.4,COOL,OFF,OFF,23.3,DRY,ON,VERY LOW,22.8,COOL,OFF,OFF,23.2,COOL,ON,MID,23.0,COOL,OFF,OFF,23.2,DRY
1734889396,[],[],[],[],[],27.9,70.438,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734890448,[],[],[],[],[],27.9,70.214,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734887468,[],[],[],[],[],27.9,69.357,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
