timestamp,rows,time_taken,energy_consumption,previous_temp,previous_humi,current_temp,current_humi,FC_Unit_1_Status,FC_Unit_1_Fan_Status,FC_Unit_1_Set_Point,FC_Unit_1_Operation_Mode,FC_Unit_2_Status,FC_Unit_2_Fan_Status,FC_Unit_2_Set_Point,FC_Unit_2_Operation_Mode,FC_Unit_3_Status,FC_Unit_3_Fan_Status,FC_Unit_3_Set_Point,FC_Unit_3_Operation_Mode,FC_Unit_4_Status,FC_Unit_4_Fan_Status,FC_Unit_4_Set_Point,FC_Unit_4_Operation_Mode,FC_Unit_5_Status,FC_Unit_5_Fan_Status,FC_Unit_5_Set_Point,FC_Unit_5_Operation_Mode,FC_Unit_6_Status,FC_Unit_6_Fan_Status,FC_Unit_6_Set_Point,FC_Unit_6_Operation_Mode,FC_Unit_7_Status,FC_Unit_7_Fan_Status,FC_Unit_7_Set_Point,FC_Unit_7_Operation_Mode,FC_Unit_8_Status,FC_Unit_8_Fan_Status,FC_Unit_8_Set_Point,FC_Unit_8_Operation_Mode
1734353268,"[3504, 3505, 3506, 3507, 3508]","[np.int64(326), np.int64(662), np.int64(956), np.int64(1326), np.int64(1652)]","[np.float64(0.7300000000004729), np.float64(1.6300000000001091), np.float64(2.309990000000198), np.float64(3.0699900000004163), np.float64(3.8700000000003456)]","[np.float64(27.9), np.float64(27.533), np.float64(27.157), np.float64(26.95), np.float64(26.567)]","[np.float64(71.5), np.float64(69.286), np.float64(68.188), np.float64(67.143), np.float64(65.214)]",28.2,72.833,ON,VERY LOW,22.8,COOL,OFF,OFF,19.0,COOL,ON,VERY LOW,23.4,COOL,OFF,OFF,23.3,DRY,ON,VERY LOW,22.8,COOL,OFF,OFF,23.2,COOL,ON,MID,23.0,COOL,OFF,OFF,23.2,DRY
1734892751,[],[],[],[],[],27.917,70.214,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734891432,[],[],[],[],[],27.917,70.214,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734892091,[],[],[],[],[],27.917,70.214,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734893414,[5271],[np.int64(271)],[np.float64(0.0)],[np.float64(27.871)],[np.float64(70.875)],27.917,70.5,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734887468,[],[],[],[],[],27.9,69.357,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734889121,"[5258, 5259, 5260, 5261, 5262, 5263, 5264]","[np.int64(275), np.int64(672), np.int64(934), np.int64(1327), np.int64(1594), np.int64(1962), np.int64(2311)]","[np.float64(0.010000000000019327), np.float64(0.010000000000019327), np.float64(0.020000000000010232), np.float64(0.020000000000010232), np.float64(0.020000000000010232), np.float64(0.020000000000010232), np.float64(0.020000000000010232)]","[np.float64(27.9), np.float64(27.883), np.float64(27.883), np.float64(27.9), np.float64(27.886), np.float64(27.871), np.float64(27.917)]","[np.float64(70.438), np.float64(70.143), np.float64(70.714), np.float64(70.214), np.float64(70.562), np.float64(70.562), np.float64(70.214)]",27.9,70.071,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734889396,"[5259, 5260, 5261, 5262, 5263, 5264]","[np.int64(397), np.int64(659), np.int64(1052), np.int64(1319), np.int64(1687), np.int64(2036)]","[np.float64(0.0), np.float64(0.009999999999990905), np.float64(0.009999999999990905), np.float64(0.009999999999990905), np.float64(0.009999999999990905), np.float64(0.009999999999990905)]","[np.float64(27.883), np.float64(27.883), np.float64(27.9), np.float64(27.886), np.float64(27.871), np.float64(27.917)]","[np.float64(70.143), np.float64(70.714), np.float64(70.214), np.float64(70.562), np.float64(70.562), np.float64(70.214)]",27.9,70.438,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734890448,"[5262, 5263, 5264]","[np.int64(267), np.int64(635), np.int64(984)]","[np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(27.886), np.float64(27.871), np.float64(27.917)]","[np.float64(70.562), np.float64(70.562), np.float64(70.214)]",27.9,70.214,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734893026,"[5270, 5271, 5272, 5273, 5274, 5275, 5276, 5277, 5278, 5279]","[np.int64(388), np.int64(659), np.int64(1055), np.int64(1371), np.int64(1652), np.int64(2037), np.int64(2364), np.int64(2702), np.int64(2970), np.int64(3360)]","[np.float64(1.0), np.float64(1.0), np.float64(0.0), np.float64(1.009999999999991), np.float64(0.009999999999990905), np.float64(1.009999999999991), np.float64(0.009999999999990905), np.float64(0.019990000000007058), np.float64(0.019990000000007058), np.float64(1.019990000000007)]","[np.float64(27.917), np.float64(27.871), np.float64(27.883), np.float64(27.883), np.float64(27.857), np.float64(27.883), np.float64(27.857), np.float64(27.867), np.float64(27.857), np.float64(27.85)]","[np.float64(70.5), np.float64(70.875), np.float64(70.5), np.float64(70.5), np.float64(70.875), np.float64(71.214), np.float64(71.5), np.float64(71.286), np.float64(71.812), np.float64(71.643)]",27.9,70.688,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
