current_temp,current_humi,total_time_maintained,total_energy_consumption,energy_efficiency,FC_Unit_1_Status,FC_Unit_1_Fan_Status,FC_Unit_1_Set_Point,FC_Unit_1_Operation_Mode,FC_Unit_2_Status,FC_Unit_2_Fan_Status,FC_Unit_2_Set_Point,FC_Unit_2_Operation_Mode,FC_Unit_3_Status,FC_Unit_3_Fan_Status,FC_Unit_3_Set_Point,FC_Unit_3_Operation_Mode,FC_Unit_4_Status,FC_Unit_4_Fan_Status,FC_Unit_4_Set_Point,FC_Unit_4_Operation_Mode,FC_Unit_5_Status,FC_Unit_5_Fan_Status,FC_Unit_5_Set_Point,FC_Unit_5_Operation_Mode,FC_Unit_6_Status,FC_Unit_6_Fan_Status,FC_Unit_6_Set_Point,FC_Unit_6_Operation_Mode,FC_Unit_7_Status,FC_Unit_7_Fan_Status,FC_Unit_7_Set_Point,FC_Unit_7_Operation_Mode,FC_Unit_8_Status,FC_Unit_8_Fan_Status,FC_Unit_8_Set_Point,FC_Unit_8_Operation_Mode
26.062,58.389,1025758,63.229999999978645,16222.647477468709,OFF,AUTO,25.0,COOL,OFF,AUTO,25.0,COOL,OFF,AUTO,23.0,COOL,OFF,VERY HIGH,22.0,COOL,OFF,AUTO,25.0,COOL,OFF,VERY HIGH,25.0,COOL,ON,AUTO,22.0,COOL,OFF,VERY HIGH,25.0,COOL
25.938,69.278,84886,5.289999999998145,16046.502835544381,OFF,AUTO,25.0,COOL,OFF,AUTO,25.0,COOL,OFF,AUTO,23.0,COOL,OFF,VERY HIGH,22.0,COOL,OFF,AUTO,25.0,COOL,OFF,VERY HIGH,25.0,COOL,ON,AUTO,22.0,COOL,OFF,VERY HIGH,25.0,COOL
25.85,52.611,18116,1.1000000000003638,16469.090909085462,OFF,AUTO,25.0,COOL,OFF,AUTO,25.0,COOL,OFF,AUTO,23.0,COOL,OFF,VERY HIGH,22.0,COOL,OFF,AUTO,25.0,COOL,OFF,VERY HIGH,25.0,COOL,ON,AUTO,22.0,COOL,OFF,VERY HIGH,25.0,COOL
25.388,68.722,2284,1.4399999999995998,1586.111111111552,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.4,COOL,ON,VERY HIGH,23.3,COOL,OFF,OFF,23.0,COOL,OFF,OFF,23.0,COOL,ON,MID,23.0,COOL,OFF,OFF,23.0,COOL
24.6,51.111,13201,16.390000000003056,805.430140329319,OFF,AUTO,25.0,COOL,OFF,AUTO,25.0,COOL,ON,AUTO,23.0,COOL,OFF,VERY HIGH,22.0,COOL,OFF,AUTO,25.0,COOL,ON,VERY HIGH,25.0,COOL,OFF,AUTO,22.0,COOL,OFF,VERY HIGH,23.0,COOL
23.4,68.0,14539,29.67999999999938,489.8584905660479,ON,VERY HIGH,25.0,COOL,ON,VERY HIGH,25.0,COOL,ON,VERY HIGH,23.4,COOL,ON,VERY HIGH,23.3,COOL,ON,VERY HIGH,25.0,COOL,ON,VERY HIGH,24.0,COOL,ON,VERY HIGH,23.0,COOL,ON,VERY HIGH,25.0,COOL
23.188,59.056,4428,4.989999999999782,887.3747494990369,ON,AUTO,25.0,COOL,ON,AUTO,25.0,COOL,ON,AUTO,21.5,COOL,ON,AUTO,21.5,COOL,ON,AUTO,25.0,COOL,ON,AUTO,25.0,COOL,ON,AUTO,21.5,COOL,ON,AUTO,25.0,COOL
23.162,59.167,1468,5.170000000000073,283.9458413926459,ON,VERY HIGH,23.2,COOL,ON,VERY HIGH,22.7,COOL,ON,VERY LOW,23.4,COOL,ON,VERY HIGH,23.3,COOL,ON,VERY HIGH,23.0,COOL,ON,MID,22.7,COOL,ON,VERY LOW,23.0,COOL,ON,VERY LOW,25.0,COOL
22.9,67.667,3259,6.489999999999782,502.15716486904614,ON,MID,24.0,COOL,ON,MID,23.0,COOL,ON,MID,23.0,COOL,ON,MID,23.0,COOL,ON,MID,23.0,COOL,ON,MID,23.0,COOL,OFF,OFF,23.0,COOL,ON,MID,23.0,COOL
22.712,67.611,9053,15.5,584.0645161290323,ON,MID,24.0,COOL,ON,MID,23.0,COOL,ON,MID,23.0,COOL,ON,MID,23.0,COOL,ON,MID,23.0,COOL,ON,MID,23.0,COOL,OFF,OFF,23.0,COOL,ON,MID,23.0,COOL
